CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,50016,Sta Cruz CUN
10CAN,Yucatan,5003X,Rueda Medina CUN
10CAN,Yucatan,5004T,Ejidatarios CUN
10CAN,Yucatan,50052,Edificio Luz MID
10CAN,Yucatan,5005B,Las Rieles MID
10CAN,Yucatan,5006Q,Meta CUN
10CAN,Yucatan,50071,Donceles CUN
10CAN,Yucatan,5009D,Telchac Pueblo MID
10CAN,Yucatan,5009N,Laguna Buenavista CUN
10CAN,Yucatan,5009Z,Chuburna Puerto MID
10CAN,Yucatan,500BG,Atenas CUN
10CAN,Yucatan,500C9,Bonsai CUN
10CAN,Yucatan,500DL,Paseos De Vergel CUN
10CAN,Yucatan,500G3,La Quinta Avenida CUN
10CAN,Yucatan,500GR,Tules CUN
10CAN,Yucatan,500GW,Uady MID
10CAN,Yucatan,500H4,Gas Portillo CUN
10CAN,Yucatan,500KG,Serrania CUN
10CAN,Yucatan,500KL,Gas Santa Fe Norte MID
10CAN,Yucatan,500L2,Estación Colosio CUN
10CAN,Yucatan,500LK,Camacho CUN
10CAN,Yucatan,500MF,Pistacho MID
10CAN,Yucatan,500MY,El Fuerte Seyba CUN
10CAN,Yucatan,500NI,Tepich CUN
10CAN,Yucatan,500NK,Campeche SF CUN
10CAN,Yucatan,500O1,Aldea Savia CUN
10CAN,Yucatan,500PX,Bonanza CUN
10CAN,Yucatan,500QI,Kaniste MID
10CAN,Yucatan,500QX,Albatros CUN
10CAN,Yucatan,500R7,La Quinta MID
10CAN,Yucatan,500SV,Potosi CUN
10CAN,Yucatan,500WS,Mendoza MID
10CAN,Yucatan,500Y8,Fracciorama MID
10CAN,Yucatan,500YD,Jaguar Sur CUN
10CAN,Yucatan,500Z5,Jupiter CUN
10CAN,Yucatan,500Z9,Neptuno CUN
10CAN,Yucatan,500ZC,Americas Norte MID
10CAN,Yucatan,5013I,HR Único CUN
10CAN,Yucatan,5014P,Parque Industrial Uman MID
10CAN,Yucatan,5014Q,Serena CUN
10CAN,Yucatan,5015B,Tutul Xiu MID
10CAN,Yucatan,50160,Paseos del Mar CUN
10CAN,Yucatan,5017N,Gas Procuradoria MID
10CAN,Yucatan,501AN,Marena CUN
10CAN,Yucatan,501BM,Vistana MID
10CAN,Yucatan,501ET,Yek CUN
10CAN,Yucatan,501F9,La Salle CUN
10CAN,Yucatan,501IR,Aldea Turquesa CUN
10CAN,Yucatan,501JC,Tintorera CUN
10CAN,Yucatan,501JD,Miraflores CUN
10CAN,Yucatan,501KJ,Zazil Ha CUN
10CAN,Yucatan,501KN,La Frontera CUN
10CAN,Yucatan,501L2,Caucel Pueblo CUN
10CAN,Yucatan,501LD,Patricio Trueba MID
10CAN,Yucatan,501M5,Amantea CUN
10CAN,Yucatan,501MT,Acanto CUN
10CAN,Yucatan,501N1,Chuburna de Hidalgo MID
10CAN,Yucatan,501NW,Uqroo CUN
10CAN,Yucatan,501PN,Margaritas CUN
10CAN,Yucatan,501Q5,Vicente Guerrero MID
10CAN,Yucatan,501QK,Amavita MID
10CAN,Yucatan,501RE,Selvanova CUN
10CAN,Yucatan,501U2,Selva Norte CUN
10CAN,Yucatan,501UW,Mareazul CUN
10CAN,Yucatan,501VY,Alondra CUN
10CAN,Yucatan,501WW,Chaac Tun CUN
10CAN,Yucatan,501X7,Fiscal MID
10CAN,Yucatan,501Z9,Bahia Principe CUN
10CAN,Yucatan,501ZA,Gas Peto MID
10CAN,Yucatan,501ZO,Poxila MID
10CAN,Yucatan,5020H,Parcelas MID
10CAN,Yucatan,50220,Madagascar CUN
10CAN,Yucatan,50222,Autovia CUN
10CAN,Yucatan,50229,Canteras MID
10CAN,Yucatan,5026U,Holbox CUN
10CAN,Yucatan,502B2,Maya Ka An CUN
10CAN,Yucatan,502BZ,El Regalo MID
10CAN,Yucatan,502CK,Mayaland CUN
10CAN,Yucatan,502E2,Saona CUN
10CAN,Yucatan,502FU,IMMS Heroes MID
10CAN,Yucatan,502G2,Castores CUN
10CAN,Yucatan,502LL,Cittadela MID
10CAN,Yucatan,502LR,Cetram Canek CUN
10CAN,Yucatan,502NE,Valencia CUN
10CAN,Yucatan,502PE,Periferico MID
10CAN,Yucatan,502QO,Poetas MID
10CAN,Yucatan,502QQ,Sonora CUN
10CAN,Yucatan,502RA,Almada MID
10CAN,Yucatan,502RY,Mojarra CUN
10CAN,Yucatan,502S5,Vikingo CUN
10CAN,Yucatan,502T6,Maxcanu MID
10CAN,Yucatan,502UE,Thula CUN
10CAN,Yucatan,502VE,Xaman Kah CUN
10CAN,Yucatan,502W2,Paseos de Mulchechen MID
10CAN,Yucatan,502W5,Real Caucel CUN
10CAN,Yucatan,502XH,Gas Santa Cruz MID
10CAN,Yucatan,502YB,Tecnogas CUN
10CAN,Yucatan,50313,Prolongacion 59 MID
10CAN,Yucatan,50336,Gas Chuina MID
10CAN,Yucatan,5034B,Chicxulub Pueblo CUN
10CAN,Yucatan,5034N,Villa del Rio MID
10CAN,Yucatan,5035V,Madeiros CUN
10CAN,Yucatan,50367,Gardens CUN
10CAN,Yucatan,50371,Guadalupe Cholul MID
10CAN,Yucatan,50376,Shutan CUN
10CAN,Yucatan,503AC,Hr Cancún CUN
10CAN,Yucatan,503EE,Costeras MID
10CAN,Yucatan,503EF,Reserva Jaguar CUN
10CAN,Yucatan,503ET,Violetas CUN
10CAN,Yucatan,503EX,Colonos MID
10CAN,Yucatan,503FO,Seybano MID
10CAN,Yucatan,503GD,Fenix MID
10CAN,Yucatan,503JG,Conchos CUN
10CAN,Yucatan,503JJ,Alpha MID
10CAN,Yucatan,503MW,El Tigre de Motul CUN
10CAN,Yucatan,503NQ,Ukana CUN
10CAN,Yucatan,503O2,IMSS Cuchilla CUN
10CAN,Yucatan,503O3,Chemax CUN
10CAN,Yucatan,503PO,Santa Cecilia MID
10CAN,Yucatan,503R7,Omni CUN
10CAN,Yucatan,503RE,Contoy CUN
10CAN,Yucatan,503S2,Quintana CUN
10CAN,Yucatan,503SI,Rio Verde CUN
10CAN,Yucatan,503TA,La Victoria CUN
10CAN,Yucatan,503Y2,Oriente MID
10CAN,Yucatan,503Y6,Gas Tzucacab MID
10CAN,Yucatan,503ZO,Tecuan CUN
10CAN,Yucatan,503ZV,Hunucma MID
10CAN,Yucatan,5040X,Libramiento CUN
10CAN,Yucatan,50429,Hacienda Opichen MID
10CAN,Yucatan,5042B,Huayacan CUN
10CAN,Yucatan,50434,El Perico CUN
10CAN,Yucatan,50449,Guayacan MID
10CAN,Yucatan,5046J,Allende MID
10CAN,Yucatan,5049G,Tame MID
10CAN,Yucatan,5049P,Kabax CUN
10CAN,Yucatan,504AX,Gas Seybano MID
10CAN,Yucatan,504BE,Anahuac MID
10CAN,Yucatan,504BR,Quetzal CUN
10CAN,Yucatan,504CW,Conchal CUN
10CAN,Yucatan,504E5,Banka CUN
10CAN,Yucatan,504E6,Omega CUN
10CAN,Yucatan,504EO,Capibara CUN
10CAN,Yucatan,504FY,Kerigma MID
10CAN,Yucatan,504GS,Galeana MID
10CAN,Yucatan,504M8,Chiabal CUN
10CAN,Yucatan,504NH,Jacintos MID
10CAN,Yucatan,504QL,Plus CUN
10CAN,Yucatan,504R5,Villas Cholul MID
10CAN,Yucatan,504T9,Azuna CUN
10CAN,Yucatan,504TY,Mirova CUN
10CAN,Yucatan,504UA,Dzidzantun CUN
10CAN,Yucatan,504UX,Grosella CUN
10CAN,Yucatan,504VQ,Gaviotas MDA
10CAN,Yucatan,504XY,Kanle CUN
10CAN,Yucatan,5050A,Sur CUN
10CAN,Yucatan,50518,Villitas CUN
10CAN,Yucatan,5051C,La Playa CUN
10CAN,Yucatan,5053F,Muna CUN
10CAN,Yucatan,50545,Muyil CUN
